channel_id,timestamp,host_id,content_type,protocol,content_id,geo_location,user_id
76746,0,2088-05-13 08:15:56 ,156,8,1,,1224,0.0
79653,0,2088-05-13 08:15:56 ,156,8,1,,1224,0.0
64912,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
20660,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
53290,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
82547,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
64916,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
59182,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
53287,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
23727,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
56253,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
79654,0,2088-05-13 08:15:57 ,156,8,1,,1224,0.0
73822,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
59179,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
70939,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
20662,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
2881,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
5889,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
20663,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
79658,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
41367,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
85452,0,2088-05-13 08:15:58 ,156,8,1,,1224,0.0
2882,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
2883,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
15,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
35430,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
17723,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
8822,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
